SYMBOL	TRANSCRIPT	COHORT	CANCER_TYPE	MUTATIONS	SAMPLES_COHORT	ALL_METHODS	SIG_METHODS	QVALUE_COMBINATION	RANKING	TIER	ROLE	SIGNATURE9	SIGNATURE10	WARNING_EXPRESSION	WARNING_GERMLINE	SAMPLES_3MUTS	OR_WARNING	WARNING_ARTIFACT	KNOWN_ARTIFACT	NUM_PAPERS	WARNING_ENSEMBL_TRANSCRIPTS	DRIVER	FILTER
A1CF	ENST00000373997	CBIOP_WXS_SKCM_BROAD	MEL	5.0	88	oncodriveclustl	combination	0.0434716227366086	22.0	2	Act	0.0	0.0	True	False	0.0	False	False	False	4.0	False	True	Warning
A1CF	ENST00000373997	PCAWG_WGS_SKIN_MELANOMA	MEL	11.0	107	dndscv	combination	0.0055224845366376	181.0	2	Act	0.0	0.0	True	False	0.0	False	False	False	4.0	False	True	Warning
A2M	ENST00000318602	CPTAC_WXS_COAD_2020	COAD	6.0	103	oncodriveclustl	combination	0.0988871217721606	4	Act	False	False	False	0.0	False	False	False	0.0	False	False	No	driver
A2M	ENST00000318602	TCGA_WXS_LUAD	LUAD	19.0	560	cbase	cbase	0.0256056663525144	3	Act	False	False	False	0.0	False	False	False	0.0	False	False	No	driver
A2M	ENST00000318602	TARGET_WGS_NBL_US	NBL	4.0	212	mutpanning	combination	0.0018257946647452	3	Act	False	False	False	0.0	False	False	False	0.0	False	False	No	driver
A2M	ENST00000318602	HARTWIG_WGS_NSCLC_2023	NSCLC	27.0	510	oncodriveclustl	combination	0.2841424142560702	4	Act	False	False	False	0.0	False	False	False	0.0	False	False	No	driver
A2M	ENST00000318602	PCAWG_WGS_PANC_ENDOCRINE	PANET	2.0	81	oncodrivefml,cbase	combination	0.0011600641899585	3	LoF	False	False	False	0.0	False	False	False	0.0	False	False	No	driver
A2M	ENST00000318602	HARTWIG_WGS_PROSTATE_2023	PROSTATE	6.0	416	smregions	combination	0.0049935747713677	3	LoF	False	False	False	0.0	False	False	False	0.0	False	False	No	driver
A2ML1	ENST00000299698	HARTWIG_WGS_COAD_2023	COAD	6.0	125	smregions,cbase	combination	0.0019179422030344	1	LoF	False	False	False	0.0	False	False	False	0.0	False	False	No	driver
A2ML1	ENST00000299698	ICGC_WGS_ESCA_ESCA_CN_2019	ESCA	2.0	17	oncodrivefml,cbase	combination	0.0079848299310393	1	Act	False	False	False	0.0	False	False	False	0.0	False	False	No	driver
A2ML1	ENST00000299698	PCAWG_WGS_HEAD_SCC	HNSC	2.0	56	hotmaps	combination	0.0893603977004389	4	Act	False	False	False	0.0	False	False	False	0.0	False	False	No	driver
A2ML1	ENST00000299698	CBIOP_WXS_SKCM_BROAD	MEL	10.0	88	cbase,mutpanning	combination	0.0006971882128963	3	LoF	False	False	False	0.0	False	False	False	0.0	False	False	No	driver
